,workload,cycles rate,branches rate,branch misses rate,L1-I loads rate,L1-I misses rate,L1-D loads rate,L1-D misses rate,L3 loads rate,L3 misses rate,cycles offset,branches offset,branch misses offset,L1-I loads offset,L1-I misses offset,L1-D loads offset,L1-D misses offset,L3 loads offset,L3 misses offset,cycles score,branches score,branch misses score,L1-I loads score,L1-I misses score,L1-D loads score,L1-D misses score,L3 loads score,L3 misses score
0,ackermann,0.6835224360720108,0.29966689071537866,0.00043135532649637965,0.0020231069865535045,6.404465710351444e-05,0.20128235701572042,0.017780937372422596,4.0610401768597726e-05,0.009018900463925976,-2581285246.754528,-2973213.2423915863,-398987.2687185332,526292.511425823,38815.93227368547,2415206.3833732605,-41419143.05635095,3127298.6600620206,12520485.17833966,0.9698345602527816,0.9999984303323,0.9942776325089273,0.9718278329158095,0.7831965250891453,0.9999911123914691,0.9884793005402424,0.3879444882560851,0.033002043203006926
1,hamming,0.4692111544784697,0.0345269824676321,1.2527918467479186e-05,0.0008756253442877547,3.932000330569091e-05,0.031453107031363364,4.810616753302598e-05,5.810185204500455e-05,0.006393455481260238,-1854512753.9270706,3083313.1633336544,91065.167493694,3310874.203055769,160003.24940139288,11322489.816915274,233308.91991578694,1892304.0063771778,8806321.526520133,0.9742230721348601,0.9999913043894744,0.9505025255522742,0.9379241272398479,0.8206486502795262,0.9999301519675243,0.9155608905958749,0.08941951809193793,0.034089070663439025
2,gray,1.3463436579591557,0.04878453019707451,4.12846862038157e-05,0.002500342998868578,0.00011059143385262005,0.0035889438597551436,0.000145421348789654,0.00010720224535649435,0.019325825255497187,-1418504557.769188,3449507.6421126127,109776.9860943784,4131935.416947454,197434.43556063622,12605042.157075614,180659.49516854715,2580773.071578848,-3608957.028752327,0.9786333170576389,0.9999509408908167,0.9600337656941038,0.9177941581696699,0.7878500322300314,0.937728276342088,0.8841317230392474,0.5082344765227087,0.03658586813445819
3,branch,2.9888666806401027,0.08768673661094983,0.028141343162655305,0.777392805366808,0.00977972746297156,1.0021901534272328,0.00036214676171401926,0.0002262099032600989,0.04003548776831786,-926034894.3971214,2781371.2680402994,-647839.6563783586,-7782007.1027174,1216505.8145794272,-48925519.99644661,322824.4014785448,2774446.2503189947,30831667.22566539,0.9750912868928631,0.9999730284662602,0.999990394797299,0.9979907382955963,0.9870046611928303,0.9990424371049113,0.8922190194827666,0.5517298444073044,0.029991996324317923
4,longjmp,0.6201601673534546,0.21150601392718793,2.5342614966027146e-05,0.0011408415100663397,5.561192370546388e-05,0.44249236286168925,6.915362358181835e-05,5.0918262243166835e-05,0.00945565270505075,-654999003.6836586,-968993.6350097656,144179.03528147994,5997610.53752248,304240.2888520132,5082107.127307892,292041.6939564352,2610566.1264906107,-15534233.391100287,0.9419172654066559,0.9999999598939872,0.9651951769942991,0.8942257319677125,0.7474276102273081,0.9999995252615664,0.861755046860798,0.5597510416765554,0.040394856552225966
5,funccall,1.0914271893188219,0.2547386099207692,-9.328900552007606e-05,0.08919439322393018,0.00010330645140461608,0.4445746124965001,0.00012016344661906635,7.787614952306835e-05,0.015084169094167375,-803389907.3060112,-2031402.8375673294,4274224.255069097,22101349.701596737,228644.32413974823,22092254.666254044,221138.86284148833,2979608.752289585,21574265.77368802,0.9668653567946078,0.9999998906098326,0.02939037417585577,0.9982135033893904,0.8344144787379905,0.9999582912406109,0.8982058160113158,0.6060453435980966,0.032956361250844335
6,funcret,1.6872962681597574,0.4970947886674392,8.432882992763921e-05,0.0030871118091240846,0.0001499977856189487,0.4172483510911425,0.00017421650470260202,0.00013566819453039782,0.024627138273451653,-360597218.16360474,-9443886.192567825,142989.48255935777,6031416.9789127335,278055.07503678603,3873039.887776375,377568.07358822227,2652718.2934701405,3188499.151984155,0.9863526836423829,0.9999987865695793,0.9907020163971804,0.9427333158193024,0.787472826448858,0.9999991919823455,0.8868373039264422,0.5711544383939267,0.035551834827788675
7,cache-l1,1.1899509710230745,0.23509665265046412,3.29897302070604e-05,0.0022399995448870932,0.00010502694751128477,0.32427985126459946,0.0012445162775337646,0.00010341391383781413,0.016425962547909893,-1657568053.7949982,-1441239.4834489822,114654.86343782838,3482446.229082085,158903.72599336645,9309750.91504383,-1287435.6580482498,2367719.513854292,7103293.80983597,0.976374335628555,0.9999741087288037,0.9517999370189879,0.9356038705133083,0.8020679126552233,0.9999445029462475,0.9662309279938708,0.6506469671854467,0.034865234279141344
8,cache-l3,2.169933126819768,0.23503098361694874,8.341783597684236e-05,0.012638422534247464,0.001330135440945866,0.33872823800858,0.12752109157246017,0.00021345237421317495,-0.0847890491226223,8980559113.03379,-8092882.8720541,345756.5470143333,15968920.936906412,132032.35554790497,38296689.27921629,5962065.416099787,3162948.7011854127,1195416597.9451714,0.5743289122157719,0.9998085161082793,0.7527785809012245,0.907283488059318,0.9238384171543197,0.9951855524693087,0.9609209534616849,0.6018595996387748,0.16231651019855464
9,stream-mem,21.378392180861443,0.13131291450524327,0.0006858645363211649,0.09063395744268324,0.005175250228047256,0.9359075749511434,0.3035823523746732,0.0021123955231801515,-0.016795803067179316,-11844405693.362373,-17910125.315369636,2857652.4640156818,-41832383.53129442,-3200579.7129385946,-511073452.8233907,-238301736.50489682,1003671.475386986,764921923.4785173,0.823220361661908,0.9984494314365001,0.8812587952698016,0.9593349414204487,0.915930582746657,0.9939075495688383,0.9956352980762785,0.5116310971824738,0.00011563303644557266
10,matrix-add-l1,0.9733574421893105,0.11863685719119058,9.773205486248384e-05,0.0018490171056696754,8.673657633308601e-05,0.7612575179496052,0.10009928985554098,8.76003494453665e-05,0.013117077462392426,-2720820086.3325424,1874990.6880559921,192758.7991823405,5354338.480782442,246844.9280333966,8112595.9204216,1063263.7611923218,2242242.343121518,2308155.830601394,0.9576992731925043,0.9999981831322374,0.9940011450688934,0.9075604774592649,0.7983017487721863,0.9999972308298766,0.9999858779234753,0.6085267746220229,0.03357460120612821
11,matrix-add-l2,1.121858188027731,0.10293304397389468,0.0019088307335011277,0.024328846939307074,0.0008436405469766655,0.8927762964346605,0.12217434595799494,6.910101991210975e-05,0.014898547618851395,-2123459595.4022598,-8863013.454128742,406470.9380823374,-41566234.77657032,-2174393.7517905496,68264613.68932724,4759284.492411613,3203528.8579336083,14886819.408948302,0.9571434880117413,0.9991883840682678,0.9996518594244023,0.8500048594683596,0.8779551801427775,0.9996364743701416,0.9991428428797918,0.427447549995581,0.033205799278522186
12,matrix-add-l3,1.797777697652606,0.0974214056072867,0.0007846130080573017,0.02087022013573824,0.0012477766529058072,0.9799645102047743,0.13201456437452294,0.00013378749675632573,0.10393822110317459,4245157083.7419624,2921400.7652869225,1102095.0419870634,9505661.157016486,36883.56122727692,-15191676.633205414,-19547070.762382984,2881261.7606003643,515088568.9649296,0.7328507316130346,0.9998043922797258,0.9989090714994752,0.9796859561712711,0.9209438504858587,0.9999089908575101,0.9998710715156206,0.6233115902308408,0.5751772638081005
13,matrix-add-mem,1.8352353988847794,0.09624780475591595,0.00033326764029461273,0.017352600498693263,0.0013533025394436217,0.9915765823338032,0.13380807209337475,0.0001611202777593726,0.104893952381069,3185587390.1128044,3193973.8595588207,7617308.631503957,14576737.056584865,-672886.069609819,-388773850.064167,-107572484.11251163,2393475.7197823594,454568694.62661886,0.7693699498173413,0.9997755165985632,0.9937445826284812,0.968882412843871,0.9400904630471548,0.9998919844234018,0.9998080987507892,0.5668920853835016,0.5627503283664814
14,matrix-trans-l1,0.5203867124534596,0.14497030620504986,0.001671687964588585,0.0009763939738763551,4.8336354623646304e-05,0.29000191055740226,0.023865515881092158,3.9504064711796556e-05,0.00735164535465691,-285603045.8797455,1503139.7400531769,192622.29270634055,9290787.784460217,567759.293423479,12298191.046482086,-5719343.1447610855,2757043.8387143784,12799359.8254897,0.976653296363176,0.9999997549733514,0.9999986255650004,0.9393810918976377,0.7539217121744023,0.999999566207926,0.9950222943134465,0.5824291974754108,0.033839922462777006
15,matrix-prod-mem,1.6515661827809596,0.12627049422146994,9.078409980162782e-05,0.0057859189028678345,0.0004216723967440027,0.2767698920842111,0.12941897379075457,0.0001495326853773331,0.011584642485983558,9286798102.440578,-14035786.976771593,8071362.42140975,49567048.203938745,2581730.506580344,726388993.036375,-106604772.1524415,3221037.1904195994,331424466.992164,0.4219634111131271,0.9998675679171595,0.7349356358902506,0.4082932112216247,0.4475509085779504,0.8453375631175328,0.999775759530004,0.30961546352183733,0.003944785708519749
16,tree-rb-mem,7.132060179364988,0.2486398174561345,0.0076195447572876725,0.025660959330156764,0.0017969564992433244,0.5027517171679794,0.0830478782790758,0.0006935564806690775,-0.14903764691009816,3928762235.2764587,-14782710.355225325,-314953.7108274251,23498933.346329883,756138.4650311768,-4198490.222670317,-20019420.656185985,2746760.6952267,939197724.191748,0.7214860259189815,0.9997585645076676,0.9992822556501887,0.9388613219069958,0.893464250696722,0.9989231744162431,0.9879106219804943,0.7185197890462144,0.06630253185844315
17,tree-binary-mem,12.138153690056585,0.21937424180481502,0.007448090455820462,0.03072357876589358,0.002394508021958313,0.4513964992305778,0.11010442849485702,0.0012719212419947314,-0.320286995942885,4256921347.292343,-10571500.671898365,-1099090.103152357,25648934.33021935,984486.8157904092,-14109930.688008904,-12833122.681804657,2514259.179645908,1003455264.1564484,0.7273321544584972,0.9983007638189917,0.9937618139858008,0.8179809762036142,0.8616498337187952,0.9976505657741984,0.9960892678438864,0.6034704515496758,0.09695063060148634
18,radixsort-mem,11.317077940961271,0.17044967647810205,0.005570258787809901,0.03330907203731912,0.0016394928139647016,0.47340031614332534,0.04854891714774492,0.0009645649523567496,-0.13602955885925733,-9832287508.842842,-17571453.087477505,-5205039.148975251,-14514966.93379569,-1071724.9669509125,-140578887.73503017,-47356924.16152415,1798677.8245940097,883912290.4639921,0.7970993078287171,0.9993603088051559,0.9815213704102774,0.686447311903461,0.8429232577121035,0.9984645864929071,0.9919662213660364,0.6601857112842,0.022210116723875517
19,skiplist-mem,1.8381472853869223,0.22891780477955673,0.010768947076036144,0.01355794404455161,0.0003477711231802819,0.43242021718483914,0.010216166847094938,0.0001302967570288534,-0.005535723721746419,-3353224681.924721,-33997621.3356452,-9046301.06588754,-7019677.548143446,178356.40292099863,-84840977.04614449,-20728516.107257277,2693063.667170239,549973470.2483541,0.9082923636902118,0.9999947049155387,0.9985155087850713,0.9951246790507023,0.9265727033933495,0.9997880332042771,0.9450782321495894,0.5579985322926442,0.0014986558476006717
